Type,StartX,StartY,EndX,EndY,Width
Wall,254230.9394749889,2821062.000065035,254230.0309240485,2821060.136840063,0.0
Wall,254229.7200598578,2821059.4993304894,254228.70286218444,2821057.41329654,0.0
Wall,254228.70286218444,2821057.41329654,254233.15569591598,2821055.2419933775,0.0
Wall,254233.15569591598,2821055.2419933775,254235.47507404778,2821059.7884036135,0.0
Wall,254219.71405387908,2821060.1324770846,254219.12369925,2821057.8091065283,0.0
Wall,254218.94238323419,2821057.095528161,254218.45789197425,2821055.1887882585,0.0
Wall,254218.45789197425,2821055.1887882585,254223.06380837513,2821053.1737754573,0.0
Wall,254223.06380837513,2821053.1737754573,254224.57513671834,2821058.1277731587,0.0
Wall,254224.57513671834,2821058.1277731587,254219.71405387908,2821060.1324770846,0.0
Wall,254183.30334765837,2821086.5088994238,254181.47973548772,2821082.7690984015,0.0
Wall,254181.47973548772,2821082.7690984015,254180.12486163314,2821083.2648440725,0.0
Wall,254179.90527709352,2821087.715095919,254179.3396849488,2821087.9158613975,0.0
Wall,254179.3396849488,2821087.9158613975,254177.75542607097,2821084.1318158708,0.0
Wall,254175.64073918413,2821084.905575631,254173.6543277249,2821085.6323996657,0.0
Wall,254173.6543277249,2821085.6323996657,254175.28864586103,2821090.1830937583,0.0
Wall,254175.28864586103,2821090.1830937583,254180.09850339228,2821088.17879466,0.0
Wall,254180.09850339228,2821088.17879466,254179.90527709352,2821087.715095919,0.0
Wall,254179.90527709352,2821087.715095919,254183.30334765837,2821086.5088994238,0.0
Wall,254179.42733095947,2821083.52006917,254176.32403469554,2821084.6555591514,0.0
Wall,254182.0101891078,2821068.0453140573,254181.32911745147,2821063.026404271,0.0
Wall,254181.32911745147,2821063.026404271,254179.4385416934,2821062.981820821,0.0
Wall,254194.6498084267,2821068.882020547,254188.59722107335,2821071.648299709,0.0
Wall,254188.59722107335,2821071.648299709,254186.49585031136,2821065.269054558,0.0
Wall,254186.49585031136,2821065.269054558,254192.6521884942,2821062.2670838195,0.0
Wall,254192.6521884942,2821062.2670838195,254193.5159039857,2821065.1271991166,0.0
Wall,254193.35557936973,2821060.880813992,254186.56050422962,2821064.194247422,0.0
Wall,254186.56050422962,2821064.194247422,254185.3987982475,2821059.9145202753,0.0
Wall,254185.3987982475,2821059.9145202753,254191.80505889692,2821056.9421230564,0.0
Wall,254192.33631839286,2821061.377828863,254191.8054937657,2821059.7352105267,0.0
Wall,254191.5941036612,2821059.0810712045,254191.02051982784,2821057.306135992,0.0
Wall,254193.75065827178,2821065.9045665846,254194.6498084267,2821068.882020547,0.0
Wall,254178.53622575276,2821062.9605424576,254176.81954886654,2821062.9200598807,0.0
Wall,254176.81954886654,2821062.9200598807,254177.47840845375,2821068.1349010873,0.0
Wall,254177.47840845375,2821068.1349010873,254182.0101891078,2821068.0453140573,0.0
Wall,254259.62937882618,2821036.397562228,254257.4547162527,2821031.1515339552,0.0
Wall,254257.4547162527,2821031.1515339552,254255.2134884825,2821032.027399016,0.0
Wall,254268.60739958953,2821043.0531180296,254267.21428709402,2821038.8822277235,0.0
Wall,254267.21428709402,2821038.8822277235,254265.32311195726,2821039.513896149,0.0
Wall,254269.8832897623,2821057.7437458234,254268.811999597,2821055.4426184595,0.0
Wall,254268.41765995527,2821054.5955783487,254267.32665384322,2821052.252101203,0.0
Wall,254267.32665384322,2821052.252101203,254260.33805286203,2821055.5056453645,0.0
Wall,254260.33805286203,2821055.5056453645,254262.88723454805,2821060.9812783194,0.0
Wall,254262.88723454805,2821060.9812783194,254269.8832897623,2821057.7437458234,0.0
Wall,254264.42964410363,2821039.812321938,254262.73433964897,2821040.3785679066,0.0
Wall,254262.73433964897,2821040.3785679066,254263.06136576383,2821041.357663318,0.0
Wall,254263.24545567037,2821041.908816803,254263.68329126496,2821043.219668757,0.0
Wall,254263.8673811715,2821043.770822242,254264.141909592,2821044.592742892,0.0
Wall,254264.141909592,2821044.592742892,254268.60739958953,2821043.0531180296,0.0
Wall,254254.2098987519,2821032.4195988597,254252.08769204674,2821033.2489508474,0.0
Wall,254252.08769204674,2821033.2489508474,254254.23249420468,2821038.737227947,0.0
Wall,254254.23249420468,2821038.737227947,254259.6656265748,2821036.485004168,0.0
Wall,254293.48096503448,2821065.9558406407,254291.87703179708,2821061.0596608515,0.0
Wall,254291.87703179708,2821061.0596608515,254286.39829878288,2821062.250679005,0.0
Wall,254286.39829878288,2821062.250679005,254287.0528705333,2821064.335190189,0.0
Wall,254284.81945679858,2821054.7992215254,254283.37050911534,2821055.5057614227,0.0
Wall,254283.37050911534,2821055.5057614227,254285.71040647873,2821060.304342333,0.0
Wall,254285.71040647873,2821060.304342333,254289.50861965193,2821058.4522470674,0.0
Wall,254289.50861965193,2821058.4522470674,254287.1687222885,2821053.6536661563,0.0
Wall,254287.1687222885,2821053.6536661563,254285.90265074055,2821054.271031484,0.0
Wall,254287.34220998315,2821065.2566037984,254287.97306577506,2821067.265590518,0.0
Wall,254287.97306577506,2821067.265590518,254293.48096503448,2821065.9558406407,0.0
Wall,254297.00768691392,2821044.5760576203,254294.28795670782,2821038.9985285997,0.0
Wall,254294.28795670782,2821038.9985285997,254283.4352656575,2821044.290547979,0.0
Wall,254283.4352656575,2821044.290547979,254286.15499586356,2821049.8680769997,0.0
Wall,254286.15499586356,2821049.8680769997,254297.00768691392,2821044.5760576203,0.0
Wall,254283.59650767138,2821037.7283617733,254280.7822718816,2821033.526287808,0.0
Wall,254280.4082828971,2821032.967866449,254279.89474375529,2821032.2010758817,0.0
Wall,254279.3198037933,2821031.342604728,254278.92906812867,2821030.7591780764,0.0
Wall,254278.67788078447,2821030.38411789,254278.0928178704,2821029.5105316583,0.0
